Title,Organization,URL,Rating,Languages Available,Enroll Information,Taught Language,Difficulty,Type,Duration,Data Science Skills Count,Engineering and Programming Skills Count,Mathematical Theory and Problem Solving Skills Count,Skills Count,Quizzes,Assignments
"Effective Communication: Writing, Design, and Presentation",University of Colorado Boulder,https://www.coursera.org/specializations/effective-business-communication,4.8,24,113181,English,Beginner,Specialization,3 - 6 Months,2,1,1,19,0,0
Power Electronics,University of Colorado Boulder,https://www.coursera.org/specializations/power-electronics,4.7,21,75683,English,Intermediate,Specialization,3 - 6 Months,2,0,0,1,0,0
Learn Interpersonal Psychotherapy,University of Toronto,https://www.coursera.org/learn/learn-ipt,5.0,0,5056,English,Mixed,Course,1 - 3 Months,1,0,1,19,0,30
Introduction to Large Language Models,Google Cloud,https://www.coursera.org/learn/introduction-to-large-language-models,4.4,21,65454,English,Beginner,Course,1 - 4 Weeks,4,3,10,24,0,0
Coaching Skills for Managers,"University of California, Davis",https://www.coursera.org/specializations/coaching-skills-manager,4.8,22,38047,English,Intermediate,Specialization,3 - 6 Months,3,2,1,19,0,0
Introduction to Discrete Mathematics for Computer Science,University of California San Diego,https://www.coursera.org/specializations/discrete-mathematics,4.5,22,83539,English,Beginner,Specialization,3 - 6 Months,1,0,0,1,0,0
Decentralized Finance (DeFi): The Future of Finance,Duke University,https://www.coursera.org/specializations/decentralized-finance-duke,4.8,22,31716,English,Intermediate,Specialization,3 - 6 Months,3,1,0,19,0,0
Business Analysis Fundamentals,Microsoft,https://www.coursera.org/learn/business-analysis-fundamentals,4.7,22,36859,English,Beginner,Course,1 - 4 Weeks,1,0,0,22,0,24
Trading Strategies in Emerging Markets,Indian School of Business,https://www.coursera.org/specializations/trading-strategy,4.2,22,71243,English,Beginner,Specialization,3 - 6 Months,3,1,3,9,0,0
International Humanitarian Law in Theory and Practice ,Universiteit Leiden,https://www.coursera.org/learn/international-humanitarian-law,4.8,22,70177,English,Beginner,Course,1 - 3 Months,0,0,0,1,0,12
Branding: The Creative Journey,IE Business School,https://www.coursera.org/specializations/branding-the-creative-journey,4.6,22,53068,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Calculus for Machine Learning and Data Science,DeepLearning.AI,https://www.coursera.org/learn/machine-learning-calculus,4.8,22,65381,English,Intermediate,Course,1 - 4 Weeks,0,0,0,1,0,6
Professional Skills for the Workplace,"University of California, Davis",https://www.coursera.org/specializations/professional-skills-for-the-workplace,4.8,24,28972,English,Beginner,Specialization,3 - 6 Months,1,0,2,16,0,0
School Health for Children and Adolescents,University of Colorado System,https://www.coursera.org/specializations/school-health-for-children-and-adolescents,4.8,22,24098,English,Beginner,Specialization,3 - 6 Months,1,0,0,1,0,0
Blockchain Revolution,INSEAD,https://www.coursera.org/specializations/blockchain-revolution-enterprise,4.7,22,39415,English,Beginner,Specialization,3 - 6 Months,1,0,0,20,0,0
C and Go: Classical and Modern Programming,"University of California, Santa Cruz",https://www.coursera.org/specializations/c-and-go,4.5,21,0,English,Intermediate,Specialization,3 - 6 Months,3,5,4,13,0,0
Emotional Intelligence: Cultivating Immensely Human Interactions,University of Michigan,https://www.coursera.org/learn/emotional-intelligence-cultivating-immensely-human-interactions,4.7,22,61581,English,Intermediate,Course,1 - 4 Weeks,1,0,0,3,0,3
Tools for Data Science,IBM,https://www.coursera.org/learn/open-source-tools-for-data-science,4.5,22,501716,English,Beginner,Course,1 - 3 Months,4,4,0,6,0,13
AWS Cloud Technical Essentials,Amazon Web Services,https://www.coursera.org/learn/aws-cloud-technical-essentials,4.8,25,314871,English,Beginner,Course,1 - 4 Weeks,1,2,0,3,0,10
Music Production,Berklee,https://www.coursera.org/specializations/music-production,4.8,22,50373,English,Beginner,Specialization,3 - 6 Months,1,0,0,3,0,0
AI-Powered Software and System Design,DeepLearning.AI,https://www.coursera.org/learn/ai-powered-software-and-system-design,4.7,0,4145,English,Beginner,Course,1 - 4 Weeks,2,1,0,2,0,6
Python Project for Data Science,IBM,https://www.coursera.org/learn/python-project-for-data-science,4.5,24,239588,English,Intermediate,Course,1 - 4 Weeks,5,2,0,4,2,0
Go Beyond the Numbers: Translate Data into Insights,Google,https://www.coursera.org/learn/go-beyond-the-numbers-translate-data-into-insight,4.7,11,58266,English,Advanced,Course,1 - 3 Months,5,1,0,5,20,0
U.S. Federal Taxation,University of Illinois Urbana-Champaign,https://www.coursera.org/specializations/united-states-federal-taxation,4.8,22,22238,English,Intermediate,Specialization,3 - 6 Months,1,0,2,13,0,0
Work Smarter with Microsoft Excel,Microsoft,https://www.coursera.org/learn/microsoft-excel-work-smarter,4.7,22,180040,English,Beginner,Course,1 - 3 Months,5,1,1,11,0,23
The Pronunciation of American English,"University of California, Irvine",https://www.coursera.org/specializations/american-english-pronunciation,4.8,22,48668,English,Beginner,Specialization,3 - 6 Months,1,0,0,1,0,0
Object Oriented Programming in Java,"University of California San Diego, Duke University",https://www.coursera.org/specializations/object-oriented-programming,4.6,22,107347,English,Beginner,Specialization,3 - 6 Months,4,5,3,16,0,0
Microsoft Front-End Developer,Microsoft,https://www.coursera.org/professional-certificates/microsoft-front-end-developer,4.6,0,0,English,Beginner,Professional Certificate,3 - 6 Months,1,2,0,2,0,0
Marketing Analytics,University of Virginia,https://www.coursera.org/learn/uva-darden-market-analytics,4.7,22,341301,English,Beginner,Course,1 - 3 Months,3,0,0,10,0,14
Anatomy,University of Michigan,https://www.coursera.org/specializations/anatomy,4.8,22,79026,English,Beginner,Specialization,3 - 6 Months,1,0,0,1,0,0
Semiconductor Packaging,Arizona State University,https://www.coursera.org/specializations/semiconductor-packaging,4.7,0,2499,English,Beginner,Specialization,3 - 6 Months,3,2,0,11,0,0
Security Analyst Fundamentals,IBM,https://www.coursera.org/specializations/security-analyst-fundamentals,4.7,24,11533,English,Beginner,Specialization,3 - 6 Months,6,2,2,22,0,0
Neuroscience and Neuroimaging,Johns Hopkins University,https://www.coursera.org/specializations/computational-neuroscience,4.7,22,22208,English,Intermediate,Specialization,3 - 6 Months,5,2,3,14,0,0
Everyday Excel,University of Colorado Boulder,https://www.coursera.org/specializations/everyday-excel,4.7,24,71824,English,Beginner,Specialization,3 - 6 Months,3,0,2,12,0,0
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,https://www.coursera.org/learn/advanced-valuation-and-strategy,4.6,22,152340,English,Advanced,Course,1 - 3 Months,1,0,0,2,0,14
Cybersecurity Operations Fundamentals,Cisco Learning and Certifications,https://www.coursera.org/specializations/cbrops,4.8,23,16124,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Learn to Program: The Fundamentals,University of Toronto,https://www.coursera.org/learn/learn-to-program,4.7,24,496804,English,Beginner,Course,1 - 3 Months,3,3,4,10,0,8
Programming with JavaScript,Meta,https://www.coursera.org/learn/programming-with-javascript,4.7,20,208225,English,Beginner,Course,1 - 3 Months,2,4,0,4,3,26
Preparation for CompTIA A+ Certification,IBM,https://www.coursera.org/specializations/preparation-comptia-certification,4.6,22,8483,English,Intermediate,Specialization,3 - 6 Months,1,1,0,2,0,0
Renewable Energy,University of Colorado Boulder,https://www.coursera.org/specializations/renewable-energy,4.8,22,17717,English,Beginner,Specialization,3 - 6 Months,2,2,2,25,0,0
Digital Product Management: Modern Fundamentals,University of Virginia,https://www.coursera.org/learn/uva-darden-digital-product-management,4.7,22,196318,English,Beginner,Course,1 - 4 Weeks,1,0,0,4,0,14
Introduction to Artificial Intelligence (AI),IBM,https://www.coursera.org/learn/introduction-to-ai,4.7,22,452202,English,Beginner,Course,1 - 4 Weeks,7,2,1,12,0,12
AI Strategy and Governance,University of Pennsylvania,https://www.coursera.org/learn/wharton-ai-strategy-governance,4.8,21,13885,English,Beginner,Course,1 - 4 Weeks,4,1,0,9,0,4
Data Analysis and Visualization with Power BI,Microsoft,https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi,4.7,22,62102,English,Beginner,Course,1 - 3 Months,5,0,0,4,0,26
Finance for Technical Managers,University of Colorado Boulder,https://www.coursera.org/specializations/finance-for-technical-managers,4.7,21,5368,English,Beginner,Specialization,3 - 6 Months,1,0,0,9,0,0
Social Media Marketing,Northwestern University,https://www.coursera.org/specializations/social-media-marketing,4.6,22,111127,English,Beginner,Specialization,3 - 6 Months,1,0,0,16,0,0
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,https://www.coursera.org/specializations/hotel-management,4.6,21,30307,English,Beginner,Specialization,3 - 6 Months,1,0,0,11,0,0
Étudier en France: French Intermediate course B1-B2,École Polytechnique,https://www.coursera.org/learn/etudier-en-france,4.8,0,641186,French,Intermediate,Course,1 - 3 Months,1,0,0,2,0,62
How Things Work: An Introduction to Physics,University of Virginia,https://www.coursera.org/learn/how-things-work,4.8,22,268804,English,Intermediate,Course,1 - 3 Months,2,2,3,9,0,8
Digital Manufacturing & Design Technology,University at Buffalo,https://www.coursera.org/specializations/digital-manufacturing-design-technology,4.6,22,45742,English,Beginner,Specialization,3 - 6 Months,5,5,0,44,0,0
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate 日本語版,Google Cloud,https://www.coursera.org/professional-certificates/gcp-data-engineering-jp,4.4,0,1708,Japanese,Intermediate,Professional Certificate,3 - 6 Months,3,2,0,6,0,0
"Data Engineering, Big Data and ML on Google Cloud 日本語版",Google Cloud,https://www.coursera.org/specializations/gcp-data-machine-learning-jp,4.4,0,3194,Japanese,Intermediate,Specialization,3 - 6 Months,3,2,0,5,0,0
Introduction to Technical Writing,Board Infinity,https://www.coursera.org/learn/technical-writing-introduction,4.3,0,15816,English,Beginner,Course,1 - 4 Weeks,1,0,0,1,0,12
An Introduction to Consumer Neuroscience & Neuromarketing ,Copenhagen Business School,https://www.coursera.org/learn/neuromarketing,4.7,22,194619,English,Beginner,Course,1 - 3 Months,1,0,0,10,0,5
"Psychology of Anxiety, Mood, Substance Use, and Addictive Behaviors",American Psychological Association,https://www.coursera.org/specializations/anxiety-mood-substance-addictive-behaviors,4.8,0,2957,English,Beginner,Specialization,3 - 6 Months,7,3,3,15,0,0
MATLAB Programming for Engineers and Scientists,Vanderbilt University,https://www.coursera.org/specializations/matlab-programming-engineers-scientists,4.8,22,89210,English,Beginner,Specialization,3 - 6 Months,5,2,0,6,0,0
Machine Learning with Python,IBM,https://www.coursera.org/learn/machine-learning-with-python,4.7,22,486874,English,Intermediate,Course,1 - 3 Months,1,0,0,10,0,11
Real-World Product Management,Advancing Women in Tech,https://www.coursera.org/specializations/real-world-product-management,4.5,22,22642,English,Beginner,Specialization,3 - 6 Months,2,0,0,15,0,0
Salesforce Sales Development Representative,Salesforce,https://www.coursera.org/professional-certificates/sales-development-representative,4.4,24,42306,English,Beginner,Professional Certificate,3 - 6 Months,0,0,0,1,0,0
Child Nutrition and Cooking,Stanford University,https://www.coursera.org/learn/childnutrition,4.8,22,507467,English,Beginner,Course,1 - 3 Months,0,0,0,1,0,15
Microsoft Generative AI for Data Analysis,Microsoft,https://www.coursera.org/professional-certificates/microsoft-genai-for-data-analysis,3.9,0,0,English,Intermediate,Professional Certificate,3 - 6 Months,4,1,0,6,0,0
"Extract, Transform and Load Data in Power BI",Microsoft,https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi,4.6,22,61039,English,Beginner,Course,1 - 4 Weeks,5,0,0,6,0,19
Software Development Lifecycle,University of Minnesota,https://www.coursera.org/specializations/software-development-lifecycle,4.7,22,65587,English,Intermediate,Specialization,3 - 6 Months,1,3,1,20,0,0
Introduction to Spreadsheets and Models,University of Pennsylvania,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models,4.2,22,120113,English,Mixed,Course,1 - 4 Weeks,5,2,1,11,0,4
Epidemiology in Public Health Practice,Johns Hopkins University,https://www.coursera.org/specializations/professional-epidemiology,4.7,22,45421,English,Beginner,Specialization,3 - 6 Months,4,0,1,5,0,0
Customer Analytics,University of Pennsylvania,https://www.coursera.org/learn/wharton-customer-analytics,4.6,22,292022,English,Mixed,Course,1 - 3 Months,4,0,0,10,0,8
Data Governance with Databricks,Board Infinity,https://www.coursera.org/learn/data-governance-databricks,2.4,0,1699,English,Intermediate,Course,1 - 4 Weeks,2,0,0,1,0,6
Bioinformatics,University of California San Diego,https://www.coursera.org/specializations/bioinformatics,4.3,22,66663,English,Beginner,Specialization,3 - 6 Months,4,3,6,12,0,0
Learn Chinese: HSK Test Preparation,Peking University,https://www.coursera.org/specializations/hsk-learn-chinese,4.8,21,42057,English,Beginner,Specialization,3 - 6 Months,1,0,0,1,0,0
Investment Management with Python and Machine Learning,EDHEC Business School,https://www.coursera.org/specializations/investment-management-python-machine-learning,4.6,22,44072,English,Beginner,Specialization,3 - 6 Months,9,3,0,20,0,0
Engineering Project Management,Rice University,https://www.coursera.org/specializations/engineering-project-management,4.7,22,65179,English,Beginner,Specialization,3 - 6 Months,1,0,1,16,0,0
Economics of Money and Banking,Columbia University,https://www.coursera.org/learn/money-banking,4.9,22,175413,English,Mixed,Course,3 - 6 Months,1,0,0,2,0,12
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,https://www.coursera.org/learn/entrepreneurship-strategy,4.7,22,58142,English,Beginner,Course,1 - 4 Weeks,1,0,0,11,11,5
Microsoft Back-End Developer,Microsoft,https://www.coursera.org/professional-certificates/microsoft-back-end-developer,4.4,0,0,English,Beginner,Professional Certificate,3 - 6 Months,3,1,0,4,0,0
Principles of Sustainable Finance ,Erasmus University Rotterdam,https://www.coursera.org/learn/sustainable-finance,4.7,22,63040,English,Intermediate,Course,1 - 3 Months,1,0,1,10,0,8
Oil & Gas Industry Operations and Markets ,Duke University,https://www.coursera.org/learn/oilandgas,4.8,22,147915,English,Mixed,Course,1 - 4 Weeks,1,1,0,1,0,7
Optical Engineering,University of Colorado Boulder,https://www.coursera.org/specializations/optical-engineering,4.3,22,12671,English,Advanced,Specialization,3 - 6 Months,1,1,4,22,0,0
Futures Thinking,Institute for the Future,https://www.coursera.org/specializations/futures-thinking,4.8,22,27570,English,Beginner,Specialization,3 - 6 Months,3,0,0,9,0,0
Business Finance and Data Analysis Fundamentals,Rice University,https://www.coursera.org/specializations/pre-mba-quantitative-skills,4.8,22,4209,English,Beginner,Specialization,3 - 6 Months,1,0,1,5,0,0
Evaluations of AI Applications in Healthcare,Stanford University,https://www.coursera.org/learn/evaluations-ai-applications-healthcare,4.5,22,16287,English,Beginner,Course,1 - 3 Months,5,1,2,16,0,22
Microsoft Program Management,Microsoft,https://www.coursera.org/professional-certificates/microsoft-program-management,4.7,0,0,English,Beginner,Professional Certificate,3 - 6 Months,1,0,0,1,0,0
Statistical Analysis with R for Public Health,Imperial College London,https://www.coursera.org/specializations/statistical-analysis-r-public-health,4.7,22,35313,English,Beginner,Specialization,3 - 6 Months,2,0,0,5,0,0
Mastering Program Management: Strategy to Certification,SkillUp EdTech,https://www.coursera.org/specializations/mastering-program-management-strategy-to-certification,4.9,0,0,English,Beginner,Specialization,1 - 3 Months,0,0,0,1,0,0
Data Management for Clinical Research,Vanderbilt University,https://www.coursera.org/learn/clinical-data-management,4.7,22,123811,English,Beginner,Course,1 - 3 Months,0,0,0,1,0,6
Fundamentals of Graphic Design,California Institute of the Arts,https://www.coursera.org/learn/fundamentals-of-graphic-design,4.8,24,808844,English,Beginner,Course,1 - 3 Months,1,1,1,10,0,2
Write Professional Emails in English,Georgia Institute of Technology,https://www.coursera.org/learn/professional-emails-english,4.8,22,976967,English,Mixed,Course,1 - 3 Months,1,0,0,3,0,11
AI for Medical Diagnosis,DeepLearning.AI,https://www.coursera.org/learn/ai-for-medical-diagnosis,4.7,22,76361,English,Intermediate,Course,1 - 4 Weeks,5,1,0,5,0,3
International Organizations Management ,University of Geneva,https://www.coursera.org/learn/international-organizations-management,4.8,22,71283,English,Beginner,Course,1 - 3 Months,1,0,0,7,0,6
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,https://www.coursera.org/learn/arbitration-international-disputes,4.8,22,60421,English,Mixed,Course,1 - 3 Months,1,0,1,3,0,5
Understanding Research Methods,University of London,https://www.coursera.org/learn/research-methods,4.6,22,358639,English,Mixed,Course,1 - 4 Weeks,10,5,4,33,0,0
Big Data,University of California San Diego,https://www.coursera.org/specializations/big-data,4.5,22,135472,English,Beginner,Specialization,3 - 6 Months,1,0,0,1,0,0
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,https://www.coursera.org/learn/vital-signs,4.8,22,399844,English,Mixed,Course,1 - 3 Months,5,1,0,14,0,6
"GIS, Mapping, and Spatial Analysis",University of Toronto,https://www.coursera.org/specializations/gis-mapping-spatial-analysis,4.8,22,51721,English,Beginner,Specialization,3 - 6 Months,1,0,0,3,0,0
Professionalism in Allied Health,MedCerts,https://www.coursera.org/learn/professionalism-allied-health,4.8,21,36670,English,Beginner,Course,1 - 3 Months,1,0,1,10,0,5
Removing Barriers to Change,University of Pennsylvania,https://www.coursera.org/learn/removing-barriers-to-change,4.9,22,27434,English,Beginner,Course,1 - 4 Weeks,2,0,1,19,0,4
Business Communication,University of Colorado Boulder,https://www.coursera.org/specializations/business-communication,4.8,22,0,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Advanced Leadership Skills for the 21st Century,Kennesaw State University,https://www.coursera.org/specializations/advanced-leadership-skills,4.5,0,1638,English,Intermediate,Specialization,3 - 6 Months,1,2,0,3,0,0
Scrum Master,SkillUp EdTech,https://www.coursera.org/specializations/skillup-edtech-scrummaster,4.6,22,2426,English,Beginner,Specialization,3 - 6 Months,1,0,1,8,0,0
Good with Words: Writing and Editing,University of Michigan,https://www.coursera.org/specializations/good-with-words,4.7,22,75989,English,Beginner,Specialization,3 - 6 Months,3,2,0,23,0,0
An Introduction to American Law,University of Pennsylvania,https://www.coursera.org/learn/american-law,4.8,22,199692,English,Beginner,Course,1 - 3 Months,1,0,0,13,0,7
Organizational Change and Culture for Adopting Google Cloud,Google Cloud,https://www.coursera.org/specializations/organizational-change-and-culture-for-adopting-google-cloud,4.7,0,5142,English,Beginner,Specialization,3 - 6 Months,1,0,0,17,0,0
Fundraising and Development,"University of California, Davis",https://www.coursera.org/specializations/fundraising-development,4.6,21,15069,English,Beginner,Specialization,3 - 6 Months,4,0,0,9,0,0
Diseño de Experiencia del Usuario (UX) de Google,Google,https://www.coursera.org/professional-certificates/diseno-de-experiencia-del-usuario-ux-de-google,4.8,11,1105689,English,Beginner,Professional Certificate,3 - 6 Months,1,0,1,18,0,0
Data Visualization and Dashboards with Excel and Cognos,IBM,https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos,4.7,24,161075,English,Beginner,Course,1 - 4 Weeks,3,3,8,17,2,8
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,https://www.coursera.org/learn/human-language,4.7,22,210185,English,Beginner,Course,1 - 3 Months,2,1,0,9,0,7
Strategic Management and Innovation,Copenhagen Business School,https://www.coursera.org/specializations/strategic-management,4.7,22,57345,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,https://www.coursera.org/specializations/modernrobotics,4.7,22,31656,English,Intermediate,Specialization,3 - 6 Months,0,0,0,1,0,0
AI Applications in People Management ,University of Pennsylvania,https://www.coursera.org/learn/wharton-ai-applications-people-management,4.8,21,12730,English,Mixed,Course,1 - 4 Weeks,0,0,0,1,0,4
Applied Data Science with R,IBM,https://www.coursera.org/specializations/applied-data-science-r,4.5,22,4486,English,Beginner,Specialization,3 - 6 Months,8,3,0,26,0,0
The Power of Statistics,Google,https://www.coursera.org/learn/the-power-of-statistics,4.8,11,56385,English,Advanced,Course,1 - 3 Months,3,1,1,4,27,0
International Marketing & Cross Industry Growth,Yonsei University,https://www.coursera.org/specializations/international-marketing,4.7,22,25754,English,Beginner,Specialization,3 - 6 Months,1,0,0,25,0,0
Teach English Now! Theories of Second Language Acquisition,Arizona State University,https://www.coursera.org/learn/language-theories,4.9,24,100611,English,Mixed,Course,1 - 3 Months,1,0,0,2,0,17
Microeconomics Principles,University of Illinois Urbana-Champaign,https://www.coursera.org/specializations/microeconomics-principles,4.8,22,2626,English,Beginner,Specialization,1 - 3 Months,3,0,1,11,0,0
Strategy and Game Theory for Management,IIMA - IIM Ahmedabad,https://www.coursera.org/learn/strategy-and-game-theory-for-management,4.9,0,10713,English,Intermediate,Course,1 - 3 Months,1,0,2,6,0,18
IELTS Preparation,"University of California, Irvine",https://www.coursera.org/specializations/ielts-preparation,4.6,23,77578,English,Beginner,Specialization,1 - 3 Months,1,0,0,2,0,0
Foundations for Assisting in Home Care,The State University of New York,https://www.coursera.org/learn/home-care,4.8,21,26675,English,Mixed,Course,3 - 6 Months,1,0,1,10,0,12
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,4.8,22,150632,English,Mixed,Course,1 - 3 Months,3,3,3,10,0,4
Computational Thinking for Problem Solving,University of Pennsylvania,https://www.coursera.org/learn/computational-thinking-problem-solving,4.7,22,122624,English,Beginner,Course,1 - 4 Weeks,1,0,1,10,0,28
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,https://www.coursera.org/learn/wharton-contagious-viral-marketing,4.8,22,311871,English,Mixed,Course,1 - 4 Weeks,0,0,0,1,0,4
Drug Hunting: The Science of Making New Medicines,Novartis,https://www.coursera.org/specializations/drug-hunting-discovery-and-development,4.8,0,2665,English,Intermediate,Specialization,3 - 6 Months,0,0,0,1,0,0
PostgreSQL for Everybody,University of Michigan,https://www.coursera.org/specializations/postgresql-for-everybody,4.7,22,31433,English,Intermediate,Specialization,3 - 6 Months,6,2,1,13,0,0
Leverage Data Science for a More Agile Supply Chain,"University of California, Irvine",https://www.coursera.org/specializations/leverage-data-science-agile-supply-chain,4.5,21,7860,English,Intermediate,Specialization,1 - 3 Months,3,0,0,8,0,0
Excel Skills for Data Analytics and Visualization,Macquarie University,https://www.coursera.org/specializations/excel-data-analytics-visualization,4.8,22,92036,English,Intermediate,Specialization,3 - 6 Months,6,0,0,17,0,0
Google サイバーセキュリティ,Google,https://www.coursera.org/professional-certificates/google-cybersecurity-jp,4.7,11,759433,English,Beginner,Professional Certificate,3 - 6 Months,3,1,0,2,0,0
Nursing Informatics(护理信息学),Peking University,https://www.coursera.org/learn/nursing-informatics,4.6,0,0,English,Intermediate,Course,1 - 3 Months,1,0,0,4,0,7
Healthcare Management and Finance,University of Michigan,https://www.coursera.org/specializations/healthcare-management-and-finance,4.4,0,2794,English,Beginner,Specialization,1 - 3 Months,1,0,0,19,0,0
Digital Transformation in Financial Services,Copenhagen Business School,https://www.coursera.org/specializations/digital-transformation-financial-services,4.6,22,30347,English,Beginner,Specialization,3 - 6 Months,1,3,0,7,0,0
Geospatial Techniques for Engineers,L&T EduTech,https://www.coursera.org/specializations/geospatial-techniques-for-engineers,4.7,0,0,English,Advanced,Specialization,3 - 6 Months,2,5,0,10,0,0
Google Cloud Fundamentals: Core Infrastructure,Google Cloud,https://www.coursera.org/learn/gcp-fundamentals,4.7,0,754886,English,Beginner,Course,1 - 3 Months,1,0,0,9,0,7
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,https://www.coursera.org/specializations/apigee-api-gcp,4.7,0,28367,English,Intermediate,Specialization,3 - 6 Months,1,0,1,13,0,0
Introduction to Finance: The Basics,University of Illinois Urbana-Champaign,https://www.coursera.org/learn/introduction-to-finance-the-basics,4.6,22,60224,English,Beginner,Course,1 - 3 Months,0,0,0,1,11,14
IBM z/OS Mainframe Practitioner,IBM,https://www.coursera.org/professional-certificates/ibm-z-mainframe,4.7,21,8824,English,Intermediate,Professional Certificate,1 - 3 Months,4,3,0,11,0,0
Introductory C Programming,Duke University,https://www.coursera.org/specializations/c-programming,4.6,24,113950,English,Beginner,Specialization,3 - 6 Months,5,4,3,17,0,0
Chinese for Beginners,Peking University,https://www.coursera.org/learn/learn-chinese,4.8,22,1369055,English,Mixed,Course,1 - 3 Months,1,0,0,11,0,28
Supply Chain Logistics,Rutgers the State University of New Jersey,https://www.coursera.org/learn/supply-chain-logistics,4.8,22,288850,English,Beginner,Course,1 - 4 Weeks,3,1,0,6,0,4
The Path to Insights: Data Models and Pipelines,Google,https://www.coursera.org/learn/the-path-to-insights-data-models-and-pipelines,4.7,11,45592,English,Advanced,Course,1 - 4 Weeks,5,3,0,11,18,0
Advanced Machine Learning on Google Cloud,Google Cloud,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp,4.5,0,60637,English,Advanced,Specialization,3 - 6 Months,1,0,0,18,0,0
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,https://www.coursera.org/learn/terrorism,4.8,22,122692,English,Beginner,Course,1 - 3 Months,1,0,1,3,0,7
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,https://www.coursera.org/learn/positive-psychology-visionary-science,4.9,22,120252,English,Beginner,Course,1 - 4 Weeks,1,2,0,1,0,8
Introduction to Business,"University of California, Irvine",https://www.coursera.org/specializations/business-introduction,4.7,21,12367,English,Beginner,Specialization,1 - 3 Months,4,1,0,5,0,0
Healthcare IT Support,Johns Hopkins University,https://www.coursera.org/specializations/healthcare-it,4.7,21,21550,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Introduction to Security Principles in Cloud Computing,Google Cloud,https://www.coursera.org/learn/introduction-to-security-principles-in-cloud-computing,4.8,0,14121,English,Beginner,Course,1 - 4 Weeks,0,0,0,1,0,21
Fundamentals of GIS,"University of California, Davis",https://www.coursera.org/learn/gis,4.8,22,174727,English,Beginner,Course,1 - 4 Weeks,0,0,0,1,0,9
Resilient Teaching Through Times of Crisis and Change,University of Michigan,https://www.coursera.org/learn/resilient-teaching-through-times-of-crisis,4.8,21,6744,English,Intermediate,Course,1 - 4 Weeks,1,0,0,1,0,2
From Excel to Power BI,Knowledge Accelerators,https://www.coursera.org/learn/from-excel-to-power-bi,4.5,22,175714,English,Beginner,Course,1 - 4 Weeks,5,0,0,5,0,6
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,https://www.coursera.org/learn/global-sustainable-development,4.8,22,99568,English,Beginner,Course,1 - 4 Weeks,1,0,1,1,0,3
Learn English: Beginning Grammar,"University of California, Irvine",https://www.coursera.org/specializations/learn-english-beginning-grammar,4.9,24,77189,English,Beginner,Specialization,1 - 3 Months,1,0,0,2,0,0
Data-driven Decision Making,PwC,https://www.coursera.org/learn/decision-making,4.6,22,192082,English,Beginner,Course,1 - 4 Weeks,5,0,1,10,0,4
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,https://www.coursera.org/learn/information-systems-audit,4.7,22,99561,English,Beginner,Course,1 - 4 Weeks,1,1,0,5,0,5
"Energy Production, Distribution & Safety",University at Buffalo,https://www.coursera.org/specializations/energy-industry,4.7,22,57049,English,Beginner,Specialization,3 - 6 Months,3,2,0,2,0,0
Using Python to Interact with the Operating System,Google,https://www.coursera.org/learn/python-operating-system,4.7,11,260058,English,Beginner,Course,1 - 3 Months,2,0,0,2,5,19
Generative AI for Executives and Business Leaders - Part 1,IBM,https://www.coursera.org/learn/generative-ai-for-executives-business-leaders,4.7,21,25511,English,Beginner,Course,1 - 4 Weeks,1,0,0,3,0,0
Game Design: Art and Concepts,California Institute of the Arts,https://www.coursera.org/specializations/game-design,4.7,22,52086,English,Beginner,Specialization,3 - 6 Months,1,0,0,11,0,0
Supply Chain Principles,Georgia Institute of Technology,https://www.coursera.org/learn/supply-chain-principles,4.6,22,98120,English,Mixed,Course,1 - 3 Months,0,0,0,1,0,6
Everyday Parenting: The ABCs of Child Rearing,Yale University,https://www.coursera.org/learn/everyday-parenting,4.9,24,230353,English,Beginner,Course,1 - 4 Weeks,0,0,0,1,0,21
