Title,Organization,URL,Rating,Languages Available,Enroll Information,Taught Language,Difficulty,Type,Duration,Data Science Skills Count,Engineering and Programming Skills Count,Mathematical Theory and Problem Solving Skills Count,Skills Count,Quizzes,Assignments
"Source Systems, Data Ingestion, and Pipelines",DeepLearning.AI,https://www.coursera.org/learn/source-systems-data-ingestion-and-pipelines,4.6,0,4455,English,Intermediate,Course,1 - 4 Weeks,0,0,0,1,0,4
Blockchain,University at Buffalo,https://www.coursera.org/specializations/blockchain,4.6,22,119578,English,Intermediate,Specialization,3 - 6 Months,3,4,2,18,0,0
Investment Management,University of Geneva,https://www.coursera.org/specializations/investment-management,4.7,22,92890,English,Beginner,Specialization,3 - 6 Months,2,0,2,18,0,0
Business Value and Project Management,University of Illinois Urbana-Champaign,https://www.coursera.org/specializations/business-value-project-management,4.7,22,6647,English,Beginner,Specialization,3 - 6 Months,1,1,1,34,0,0
Instructional Methods in Health Professions Education,University of Michigan,https://www.coursera.org/learn/instructional-methods-education,4.7,22,24041,English,Intermediate,Course,1 - 3 Months,1,0,0,4,0,11
The Strategy of Content Marketing,"University of California, Davis",https://www.coursera.org/learn/content-marketing,4.5,22,621733,English,Intermediate,Course,1 - 3 Months,4,0,0,2,0,5
Introduction to Clinical Data,Stanford University,https://www.coursera.org/learn/introduction-clinical-data,4.7,22,24368,English,Beginner,Course,1 - 3 Months,1,0,1,3,0,20
Microsoft 365 Copilot for Leaders,Vanderbilt University,https://www.coursera.org/specializations/microsoft-365-copilot-for-leaders,4.7,23,2330,English,Beginner,Specialization,1 - 3 Months,1,0,0,2,0,0
Keller Williams Real Estate Agent,Keller Williams,https://www.coursera.org/professional-certificates/keller-williams-real-estate-agent,4.8,3,18715,English,Beginner,Professional Certificate,3 - 6 Months,1,2,0,17,0,0
Software Product Management,University of Alberta,https://www.coursera.org/specializations/product-management,4.7,22,84967,English,Beginner,Specialization,3 - 6 Months,1,0,0,1,0,0
Healthy and Sustainable Foods and Products,University of Michigan,https://www.coursera.org/specializations/healthy-sustainable-foods-products,4.2,21,4868,English,Intermediate,Specialization,3 - 6 Months,1,0,0,3,0,0
The Integration of Art and Science in Modern Dental Medicine,University of Pennsylvania,https://www.coursera.org/specializations/art-and-science-of-dental-medicine,4.9,21,2374,English,Intermediate,Specialization,3 - 6 Months,0,0,0,1,0,0
Build Dynamic User Interfaces (UI) for Websites,Google,https://www.coursera.org/learn/responsive-web-design-adobe-xd,4.8,11,214514,English,Beginner,Course,1 - 4 Weeks,0,0,0,1,17,2
Positive Psychiatry and Mental Health ,The University of Sydney,https://www.coursera.org/learn/positive-psychiatry,4.8,22,292408,English,Mixed,Course,1 - 3 Months,1,0,0,1,0,2
First Step Korean,Yonsei University,https://www.coursera.org/learn/learn-korean,4.9,22,1604304,English,Beginner,Course,1 - 3 Months,1,0,0,2,0,20
Software Design and Architecture,University of Alberta,https://www.coursera.org/specializations/software-design-architecture,4.6,22,80456,English,Beginner,Specialization,3 - 6 Months,4,5,1,17,0,0
Project Management Essentials,Howard University,https://www.coursera.org/learn/copy-of-project-management-essentials,4.6,0,23962,English,Beginner,Course,1 - 4 Weeks,1,0,0,2,0,3
Human Anatomy and Medical Terminology Fundamentals,MedCerts,https://www.coursera.org/specializations/human-anatomy-medical-terminology-fundamentals,4.7,0,8345,English,Beginner,Specialization,3 - 6 Months,1,0,0,5,0,0
Satisfaction Guaranteed: Develop Customer Loyalty Online,Google,https://www.coursera.org/learn/satisfaction-guaranteed,4.8,11,126564,English,Beginner,Course,1 - 4 Weeks,1,0,0,10,15,8
Cancer Biology,Johns Hopkins University,https://www.coursera.org/specializations/cancer-biology,4.8,22,27382,English,Beginner,Specialization,3 - 6 Months,1,0,0,1,0,0
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,https://www.coursera.org/learn/camino-excelencia-gestion-proyectos,4.7,0,306947,Spanish,Beginner,Course,1 - 3 Months,3,0,2,16,4,0
Animal Behaviour and Welfare,The University of Edinburgh,https://www.coursera.org/learn/animal-welfare,4.8,22,157130,English,Mixed,Course,1 - 3 Months,3,0,0,4,0,5
Academic English: Writing,"University of California, Irvine",https://www.coursera.org/specializations/academic-english,4.7,24,234101,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Management Consulting,Emory University,https://www.coursera.org/specializations/managementconsulting,4.8,21,20497,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Excel Basics for Data Analysis,IBM,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,4.8,24,389896,English,Beginner,Course,1 - 3 Months,0,0,0,1,0,12
